variavel,importancia
mun_taxa_ano_anterior,0.02056
mun_media_ano_anterior,0.01031
uf_media_ano_anterior,0.00986
sigla_uf,0.0066
mun_p75_ano_anterior,0.00369
uf_taxa_ano_anterior,0.00262
regiao,0.00217
populacao,0.00155
mun_alunos_ano_anterior,0.00146
dist_meta_mun_uf,0.00103
pib_per_capita,0.00082
dist_meta_partida,0.00076
pib,0.00074
mun_p25_ano_anterior,0.00073
caderno,0.00061
rede_descricao,0.00052
peso_aluno,0.0
id_aluno,0.0
id_escola,0.0
id_municipio,0.0
dist_meta_mun_nacional,0.0
mun_desvio_ano_anterior,-1e-05
meta_do_ano,-9e-05
meta_uf_do_ano,-0.00014
