variavel,shap_medio
mun_taxa_ano_anterior,0.18207
uf_media_ano_anterior,0.14244
mun_media_ano_anterior,0.12109
mun_p75_ano_anterior,0.11237
uf_taxa_ano_anterior,0.04206
sigla_uf_RS,0.0403
dist_meta_partida,0.03704
populacao,0.03136
mun_alunos_ano_anterior,0.03085
regiao_Sudeste,0.02659
mun_p25_ano_anterior,0.02565
pib_per_capita,0.02338
mun_desvio_ano_anterior,0.01698
dist_meta_mun_uf,0.0116
pib,0.01052
sigla_uf_GO,0.01022
meta_do_ano,0.00889
sigla_uf_MG,0.00878
regiao_Norte,0.00481
meta_uf_do_ano,0.00442
missingindicator_mun_taxa_ano_anterior,0.0043
sigla_uf_PI,0.00397
rede_descricao_Municipal,0.0039
caderno_17,0.00353
sigla_uf_AL,0.0032
sigla_uf_BA,0.0027
missingindicator_meta_do_ano,0.00264
sigla_uf_PR,0.00245
regiao_Sul,0.00234
caderno_8,0.00229
sigla_uf_infrequent_sklearn,0.00224
sigla_uf_RO,0.00216
regiao_Centro-Oeste,0.00195
missingindicator_meta_uf_do_ano,0.0019
caderno_13,0.00172
sigla_uf_MT,0.00148
sigla_uf_RN,0.00099
regiao_Nordeste,0.00099
caderno_6,0.00087
sigla_uf_MA,0.00077
sigla_uf_AM,0.00072
sigla_uf_PA,0.00068
caderno_3,0.00068
sigla_uf_SC,0.00055
sigla_uf_PE,0.00054
caderno_19,0.00054
caderno_2,0.00053
rede_descricao_Estadual,0.00053
caderno_12,0.00052
caderno_1,0.00045
sigla_uf_PB,0.00041
caderno_15,0.00038
caderno_14,0.00037
sigla_uf_SP,0.00028
sigla_uf_ES,0.00019
caderno_21,0.00016
sigla_uf_MS,0.00013
caderno_20,0.00012
caderno_11,0.00012
caderno_18,0.0001
sigla_uf_RJ,6e-05
caderno_10,6e-05
caderno_16,5e-05
caderno_5,3e-05
missingindicator_mun_media_ano_anterior,0.0
dist_meta_mun_nacional,0.0
sigla_uf_DF,0.0
sigla_uf_CE,0.0
missingindicator_mun_p75_ano_anterior,0.0
missingindicator_mun_alunos_ano_anterior,0.0
missingindicator_dist_meta_mun_nacional,0.0
missingindicator_dist_meta_mun_uf,0.0
missingindicator_mun_desvio_ano_anterior,0.0
missingindicator_mun_p25_ano_anterior,0.0
missingindicator_uf_taxa_ano_anterior,0.0
missingindicator_uf_media_ano_anterior,0.0
missingindicator_dist_meta_partida,0.0
rede_descricao_infrequent_sklearn,0.0
caderno_4,0.0
caderno_7,0.0
caderno_9,0.0
caderno_infrequent_sklearn,0.0
