id_municipio,sigla_uf,regiao,rede_descricao,alunos,indicador_previsto,indicador_real,meta_do_ano,taxa_ano_anterior,risco,gap_previsto_meta,sem_meta,risco_de_nao_atingir_meta,nome_municipio,sigla_uf_dim,perfil,nome_perfil
1100015,RO,Norte,Municipal,105,66.9,72.9,67.08,64.55,0.33099999999999996,-0.18,False,True,Alta Floresta D'Oeste,RO,0,Atenção
1100023,RO,Norte,Municipal,333,60.41,67.56,65.22,62.3,0.39590000000000003,-4.81,False,True,Ariquemes,RO,0,Atenção
1100031,RO,Norte,Municipal,35,74.8,76.93,70.85,69.1,0.252,3.95,False,False,Cabixi,RO,1,Consolidado
1100049,RO,Norte,Estadual,61,73.76,71.7,,66.13,0.26239999999999997,,True,False,Cacoal,RO,0,Atenção
1100049,RO,Norte,Municipal,246,71.57,63.44,65.39,62.51,0.2843000000000001,6.18,False,False,Cacoal,RO,3,Intermediário
1100056,RO,Norte,Municipal,98,61.44,68.41,62.09,58.53,0.38560000000000005,-0.65,False,True,Cerejeiras,RO,0,Atenção
1100064,RO,Norte,Municipal,56,66.44,61.39,65.67,62.85,0.3356,0.77,False,False,Colorado do Oeste,RO,0,Atenção
1100072,RO,Norte,Municipal,51,65.97,71.02,61.82,58.19,0.34030000000000005,4.15,False,False,Corumbiara,RO,0,Atenção
1100080,RO,Norte,Municipal,60,72.58,64.57,80.0,80.7,0.2742,-7.42,False,True,Costa Marques,RO,1,Consolidado
1100098,RO,Norte,Estadual,20,72.11,71.1,,69.18,0.27890000000000004,,True,False,Espigão D'Oeste,RO,0,Atenção
1100098,RO,Norte,Municipal,118,81.92,69.35,80.0,85.32,0.18079999999999996,1.92,False,False,Espigão D'Oeste,RO,1,Consolidado
1100106,RO,Norte,Municipal,124,59.56,43.86,47.82,41.76,0.4044,11.74,False,False,Guajará-Mirim,RO,3,Intermediário
1100114,RO,Norte,Municipal,198,64.22,62.1,65.65,62.82,0.3578,-1.43,False,True,Jaru,RO,0,Atenção
1100122,RO,Norte,Estadual,209,70.44,54.44,,57.02,0.2956,,True,False,Ji-Paraná,RO,0,Atenção
1100122,RO,Norte,Municipal,245,80.11,72.52,80.0,81.83,0.19889999999999997,0.11,False,False,Ji-Paraná,RO,1,Consolidado
1100130,RO,Norte,Municipal,123,62.96,65.65,56.12,51.38,0.37039999999999995,6.84,False,False,Machadinho D'Oeste,RO,3,Intermediário
1100148,RO,Norte,Municipal,79,74.15,70.86,75.6,74.81,0.25849999999999995,-1.45,False,True,Nova Brasilândia D'Oeste,RO,1,Consolidado
1100155,RO,Norte,Municipal,121,73.94,64.87,73.58,72.39,0.26060000000000005,0.36,False,False,Ouro Preto do Oeste,RO,1,Consolidado
1100189,RO,Norte,Municipal,158,68.76,82.68,71.37,69.72,0.3123999999999999,-2.61,False,True,Pimenta Bueno,RO,0,Atenção
1100205,RO,Norte,Estadual,93,68.42,70.19,,57.45,0.31579999999999997,,True,False,Porto Velho,RO,0,Atenção
1100205,RO,Norte,Municipal,1603,71.85,52.84,67.5,65.06,0.2815000000000001,4.35,False,False,Porto Velho,RO,1,Consolidado
1100254,RO,Norte,Estadual,22,64.07,60.38,,53.2,0.35930000000000006,,True,False,Presidente Médici,RO,0,Atenção
1100254,RO,Norte,Municipal,39,64.84,63.98,65.31,62.41,0.3515999999999999,-0.47,False,True,Presidente Médici,RO,0,Atenção
1100288,RO,Norte,Municipal,201,68.7,74.9,70.6,68.81,0.31299999999999994,-1.9,False,True,Rolim de Moura,RO,0,Atenção
1100296,RO,Norte,Municipal,24,74.52,91.59,76.7,76.11,0.2548,-2.18,False,True,Santa Luzia D'Oeste,RO,1,Consolidado
1100304,RO,Norte,Municipal,438,63.95,71.83,67.96,65.62,0.36049999999999993,-4.01,False,True,Vilhena,RO,0,Atenção
1100320,RO,Norte,Municipal,90,70.04,73.63,69.73,67.75,0.2996,0.31,False,False,São Miguel do Guaporé,RO,1,Consolidado
1100338,RO,Norte,Municipal,134,72.61,48.06,65.81,63.02,0.27390000000000003,6.8,False,False,Nova Mamoré,RO,1,Consolidado
1100346,RO,Norte,Municipal,36,56.27,66.25,36.33,29.2,0.4373,19.94,False,False,Alvorada D'Oeste,RO,3,Intermediário
1100379,RO,Norte,Municipal,55,74.81,80.27,71.19,69.51,0.2519,3.62,False,False,Alto Alegre dos Parecis,RO,1,Consolidado
1100403,RO,Norte,Municipal,48,70.04,65.38,64.58,61.55,0.2996,5.46,False,False,Alto Paraíso,RO,3,Intermediário
1100452,RO,Norte,Municipal,125,61.83,72.41,54.78,49.82,0.38170000000000004,7.05,False,False,Buritis,RO,3,Intermediário
1100502,RO,Norte,Municipal,28,74.59,75.17,73.7,72.53,0.2541,0.89,False,False,Novo Horizonte do Oeste,RO,1,Consolidado
1100700,RO,Norte,Municipal,45,67.6,66.16,62.75,59.31,0.32400000000000007,4.85,False,False,Campo Novo de Rondônia,RO,3,Intermediário
1100809,RO,Norte,Municipal,104,62.7,61.72,54.05,48.95,0.373,8.65,False,False,Candeias do Jamari,RO,3,Intermediário
1100908,RO,Norte,Municipal,22,76.61,73.56,71.71,70.14,0.2339,4.9,False,False,Castanheiras,RO,1,Consolidado
1100924,RO,Norte,Municipal,53,73.83,76.69,80.0,80.74,0.26170000000000004,-6.17,False,True,Chupinguaia,RO,1,Consolidado
1100940,RO,Norte,Municipal,88,74.94,65.96,77.84,77.45,0.25060000000000004,-2.9,False,True,Cujubim,RO,1,Consolidado
1101005,RO,Norte,Municipal,43,68.5,74.29,67.54,65.14,0.31499999999999995,0.96,False,False,Governador Jorge Teixeira,RO,0,Atenção
